1,1,118,l,30000,1000,0.002,2.5,2000,90
1,2,115,l,20000,1000,0.002,2.5,2000,70
1,3,114.5,l,30000,1000,0.002,2.5,2000,120
1,4,111,l,30000,1000,0.002,2.5,2000,120
2,1,117,l,30000,1000,0.002,2.5,2000,60
2,2,116.5,l,15000,1000,0.002,2.5,2000,60
2,3,114.5,l,20000,1000,0.002,2.5,2000,120
2,4,110,l,40000,1000,0.002,2.5,2000,50
2,5,110.3,l,50000,1000,0.002,2.5,2000,120
2,6,110.5,l,40000,1000,0.002,2.5,2000,120
2,7,111,l,40000,1000,0.002,2.5,2000,100
3,1,115,l,50000,800,0.001,3,4000,60
3,2,114.5,f,30000,800,0.001,3,4000,140
3,3,114,f,30000,800,0.001,3,8000,130
3,4,113,f,30000,800,0.001,3,8000,120
3,5,110,f,30000,1000,0.002,2.5,6000,100
3,6,109.5,l,30000,1000,0.002,2.5,3000,70
3,7,108,l,30000,1000,0.002,2.5,2000,70
3,8,111,l,30000,1000,0.002,2.5,2000,80
4,2,116,f,30000,400,0.001,6.5,4000,150
4,3,115.5,f,30000,400,0.001,6.5,4000,120
4,4,115,f,30000,400,0.001,6.5,4000,100
4,5,113,f,30000,400,0.001,6.5,4000,150
4,6,110,l,30000,1000,0.002,2.5,3000,150
4,7,108,l,30000,1000,0.002,2.5,2000,70
4,8,108,l,30000,1000,0.002,2.5,3000,40
4,9,111,f,30000,1000,0.002,2.5,10000,90
4,13,115,l,20000,400,0.001,6.5,4000,120
5,2,116,f,40000,600,0.001,6.5,6000,100
5,3,115.5,f,40000,600,0.001,6.5,6000,70
5,4,115,f,40000,600,0.001,6.5,6000,150
5,5,112,f,40000,600,0.001,6.5,6000,150
5,6,111,l,40000,600,0.001,6.5,6000,120
5,7,107.5,l,40000,600,0.002,6.5,6000,70
5,8,110,l,40000,600,0.002,6.5,6000,60
5,9,113,f,40000,600,0.001,6.5,6000,100
5,11,114,l,20000,900,0.001,6.5,1800,80
5,12,115,f,30000,900,0.001,6.5,9000,100
5,13,114,f,40000,900,0.001,6.5,9000,100
5,14,115,f,40000,900,0.001,6.5,9000,50
6,3,116,f,50000,900,0.001,6.5,9000,120
6,4,115,f,50000,1000,0.001,6.5,10000,100
6,5,114,f,50000,900,0.001,6.5,9000,100
6,6,112,f,50000,1000,0.001,6.5,5000,70
6,7,107,f,50000,900,0.001,6.5,5000,80
6,8,110,f,50000,900,0.001,6.5,5000,90
6,9,114,f,50000,900,0.001,6.5,5000,50
6,10,114,f,50000,900,0.001,6.5,5000,120
6,11,113,f,50000,1000,0.002,2.5,5000,120
6,12,113,f,50000,900,0.001,6.5,4000,100
6,13,113,f,50000,1000,0.002,2.5,5000,70
6,14,114.5,f,50000,900,0.001,6.5,9000,90
6,15,112,f,50000,1000,0.002,2.5,6000,120
7,4,116,f,50000,900,0.001,6.5,7000,100
7,5,115.5,f,50000,900,0.001,6.5,7000,70
7,6,114,f,50000,900,0.001,6.5,5000,100
7,7,107.5,w,0,0,1,20,0,0
7,8,114,f,50000,900,0.001,6.5,8000,40
7,9,113.5,f,50000,900,0.001,6.5,5000,100
7,10,113,l,40000,1000,0.002,2.5,4000,200
7,11,114,f,40000,1000,0.002,2.5,6000,100
7,12,112,f,40000,1000,0.002,2.5,5000,70
7,13,111,f,40000,1000,0.002,2.5,4000,100
7,14,114,l,35000,1000,0.002,2.5,3000,100
7,15,110,f,40000,1000,0.002,2.5,6000,200
8,6,115,f,50000,900,0.001,6.5,5000,100
8,7,112,f,50000,900,0.001,6.5,5000,100
8,8,111.5,w,0,0,0,1,0,0
8,9,112,l,30000,1000,0.002,2.5,2000,200
8,10,115,l,30000,1000,0.002,2.5,3000,100
8,11,111.5,w,0,0,0,1,0,0
8,12,111.5,w,0,0,0,1,0,0
8,13,111.5,w,0,0,0,1,0,0
8,14,108,f,50000,900,0.001,6.5,5000,100
8,15,110,f,50000,900,0.001,6.5,5000,200
8,16,109,f,50000,900,0.001,6.5,5000,100
8,17,109,f,50000,900,0.001,6.5,5000,150
9,7,113,f,50000,1000,0.001,6.5,7000,200
9,8,112,f,50000,1000,0.001,6.5,6000,700
9,9,111.5,w,0,0,0,1,0,0
9,10,112,f,50000,1000,0.001,6.5,5000,700
9,11,113,f,50000,1000,0.001,6.5,6000,100
9,12,112,f,50000,1000,0.001,6.5,7000,70
9,13,112,f,50000,1000,0.001,6.5,9000,100
9,14,111,f,50000,1000,0.001,6.5,8000,150
9,15,109.5,w,0,0,0,1,0,0
9,16,110,f,50000,1000,0.001,6.5,6000,100
9,17,109,f,50000,1000,0.001,6.5,5000,100
10,7,114,f,50000,1000,0.001,6.5,7000,150
10,8,114,f,50000,1000,0.001,6.5,9000,100
10,9,113,f,50000,1000,0.001,6.5,5000,150
10,10,113,f,50000,1000,0.001,6.5,5000,100
10,12,114,f,50000,1000,0.001,6.5,6000,100
10,13,113,f,50000,1000,0.001,6.5,6000,90
10,14,113,f,50000,1000,0.001,6.5,7000,80
10,15,113,f,50000,1000,0.001,6.5,7000,100
10,16,111,f,50000,1000,0.001,6.5,8000,100
11,9,114,f,40000,1000,0.001,6.5,8000,200
11,10,114,f,40000,1000,0.001,6.5,9000,150
