1,1,118,l,30000,500,0.002,2.5,2000,50
1,2,115,l,20000,500,0.002,2.5,2000,50
1,3,114.5,l,30000,500,0.002,2.5,2000,60
1,4,111,l,30000,500,0.002,2.5,2000,60
2,1,117,l,30000,500,0.002,2.5,2000,30
2,2,116.5,l,15000,500,0.002,2.5,2000,30
2,3,114.5,l,20000,500,0.002,2.5,2000,60
2,4,110,l,40000,500,0.002,2.5,2000,70
2,5,110.3,l,50000,500,0.002,2.5,2000,60
2,6,110.5,l,40000,500,0.002,2.5,2000,60
2,7,111,l,40000,500,0.002,2.5,2000,50
3,1,115,l,50000,400,0.001,3,4000,30
3,2,114.5,f,30000,400,0.001,3,4000,150
3,3,114,f,30000,400,0.001,3,8000,150
3,4,113,f,30000,400,0.001,3,8000,200
3,5,110,f,30000,500,0.002,2.5,6000,200
3,6,109.5,l,30000,500,0.002,2.5,3000,50
3,7,108,l,30000,500,0.002,2.5,2000,50
3,8,111,l,30000,500,0.002,2.5,2000,60
4,2,116,f,30000,200,0.001,6.5,4000,150
4,3,115.5,f,30000,200,0.001,6.5,4000,200
4,4,115,f,30000,200,0.001,6.5,4000,200
4,5,113,f,30000,200,0.001,6.5,4000,200
4,6,110,l,30000,500,0.002,2.5,3000,60
4,7,108,l,30000,500,0.002,2.5,2000,50
4,8,108,l,30000,500,0.002,2.5,3000,20
4,9,111,f,30000,500,0.002,2.5,10000,150
4,13,115,l,20000,200,0.001,6.5,4000,80
5,2,116,f,40000,300,0.001,6.5,6000,150
5,3,115.5,f,40000,300,0.001,6.5,6000,170
5,4,115,f,40000,300,0.001,6.5,6000,100
5,5,112,f,40000,300,0.001,6.5,6000,100
5,6,111,l,40000,300,0.001,6.5,6000,60
5,7,107.5,l,40000,300,0.002,6.5,6000,50
5,8,110,l,40000,300,0.002,6.5,6000,50
5,9,113,f,40000,300,0.001,6.5,6000,100
5,11,114,l,20000,500,0.001,6.5,1800,60
5,12,115,f,30000,500,0.001,6.5,9000,150
5,13,114,f,40000,500,0.001,6.5,9000,150
5,14,115,f,40000,500,0.001,6.5,9000,500
6,3,116,f,50000,500,0.001,6.5,9000,50
6,4,115,f,50000,500,0.001,6.5,10000,150
6,5,114,f,50000,400,0.001,6.5,9000,250
6,6,112,f,50000,500,0.001,6.5,5000,200
6,7,107,f,50000,400,0.001,6.5,5000,200
6,8,110,f,50000,400,0.001,6.5,5000,200
6,9,114,f,50000,400,0.001,6.5,5000,150
6,10,114,f,50000,400,0.001,6.5,5000,250
6,11,113,f,50000,500,0.002,2.5,5000,250
6,12,113,f,50000,400,0.001,6.5,4000,250
6,13,113,f,50000,500,0.002,2.5,5000,200
6,14,114.5,f,50000,400,0.001,6.5,9000,150
6,15,112,f,50000,500,0.002,2.5,6000,200
7,4,116,f,50000,400,0.001,6.5,7000,250
7,5,115.5,f,50000,400,0.001,6.5,7000,150
7,6,114,f,50000,500,0.001,6.5,5000,250
7,7,107.5,w,0,0,1,20,0,0
7,8,114,f,50000,500,0.001,6.5,8000,150
7,9,113.5,f,50000,500,0.001,6.5,5000,350
7,10,113,l,40000,500,0.002,2.5,4000,400
7,11,114,f,40000,600,0.002,2.5,6000,200
7,12,112,f,40000,600,0.002,2.5,5000,250
7,13,111,f,40000,600,0.002,2.5,4000,300
7,14,114,l,35000,500,0.002,2.5,3000,150
7,15,110,f,40000,500,0.002,2.5,6000,200
8,6,115,f,50000,400,0.001,6.5,5000,150
8,7,112,f,50000,400,0.001,6.5,5000,200
8,8,111.5,w,0,0,0,1,0,0
8,9,112,l,30000,500,0.002,2.5,2000,350
8,10,115,l,30000,500,0.002,2.5,3000,400
8,11,111.5,w,0,0,0,1,0,0
8,12,111.5,w,0,0,0,1,0,0
8,13,111.5,w,0,0,0,1,0,0
8,14,108,f,50000,400,0.001,6.5,5000,350
8,15,110,f,50000,500,0.001,6.5,5000,400
8,16,109,f,50000,400,0.001,6.5,5000,350
8,17,109,f,50000,500,0.001,6.5,5000,500
9,7,113,f,50000,500,0.001,6.5,7000,600
9,8,112,f,50000,500,0.001,6.5,6000,500
9,9,111.5,w,0,0,0,1,0,0
9,10,112,f,50000,500,0.001,6.5,5000,300
9,11,113,f,50000,500,0.001,6.5,6000,300
9,12,112,f,50000,500,0.001,6.5,7000,250
9,13,112,f,50000,500,0.001,6.5,9000,400
9,14,111,f,50000,400,0.001,6.5,8000,500
9,15,109.5,w,0,0,0,1,0,0
9,16,110,f,50000,500,0.001,6.5,6000,600
9,17,109,f,50000,500,0.001,6.5,5000,600
10,7,114,f,50000,500,0.001,6.5,7000,250
10,8,114,f,50000,500,0.001,6.5,9000,300
10,9,113,f,50000,500,0.001,6.5,5000,400
10,10,113,f,50000,500,0.001,6.5,5000,350
10,12,114,f,50000,500,0.001,6.5,6000,450
10,13,113,f,50000,500,0.001,6.5,6000,250
10,14,113,f,50000,500,0.001,6.5,7000,250
10,15,113,f,50000,500,0.001,6.5,7000,250
10,16,111,f,50000,500,0.001,6.5,8000,250
11,9,114,f,40000,500,0.001,6.5,8000,300
11,10,114,f,40000,500,0.001,6.5,9000,250
